name,sections,max enrolment,bold info,req,year,term
En 147,01,20,Maximum Enrollment: 20 students,advanced hum,7,FA
H  111,01,20,Maximum enrollment: 20 students,advanced hum,7,FA
H  122,01,15,Maximum enrollment: 15 students,advanced hum,7,FA
HPS/H 162,01,15,Maximum enrollment: 15 students,advanced hum,7,FA
HPS103,01,,,advanced hum,7,FA
HPS104,01,,,advanced hum,7,FA
Hum/H 002,02,30,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H 003A,02,30,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H 003B,01,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H 003C,01,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/En 005,02,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/Pl 009,06,90,Maximum enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H/HPS 010,01,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
Pl 090A,02,,,advanced hum,7,FA
En 114A,01,20,Maximum Enrollment: 20 students,advanced hum,7,WI
En 172,01,20,Maximum enrollment: 20 students,advanced hum,7,WI
H  116,01,20,Maximum Enrollment: 20 students,advanced hum,7,WI
H  125,01,25,Maximum Enrollment: 25 students,advanced hum,7,WI
H/F 131,01,25,Maximum Enrollment: 25 students,advanced hum,7,WI
H  138,01,,,advanced hum,7,WI
H  140,01,20,Maximum Enrollment: 20 students,advanced hum,7,WI
Law/PS/H 148A,01,30,Maximum enrollment: 30 students,advanced hum,7,WI
HPS/H 166,01,,,advanced hum,7,WI
HPS/H 168,01,,,advanced hum,7,WI
HPS/H/Pl 174,01,20,Maximum Enrollment: 20 students,advanced hum,7,WI
HPS102A,01,,,advanced hum,7,WI
HPS103,01,,,advanced hum,7,WI
HPS/Pl 130,01,,,advanced hum,7,WI
HPS/Pl 134,01,,,advanced hum,7,WI
Hum/H 001A,01,17,Attendance at first class is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 002,01,17,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 003A,01,17,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 003B,01,17,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 003C,03,51,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students per section,frosh hum,7,WI
Hum/H 004A,01,17,Attendance at the first class meeting is required. // Maximum enrollment: 17 students,frosh hum,7,WI
Hum/En 005,03,51,Attendance at the first class meeting is required. // Maximum enrollment: 17 students per section.,frosh hum,7,WI
Hum/En 006,01,17,Attendance at the first class meeting is required. // Maximum enrollment: 17 students,frosh hum,7,WI
Hum/Pl 008,02,34,Attendance at the first class meeting is required  // Maximum enrollment: 17 students per section,frosh hum,7,WI
Hum/H/HPS 010,01,17,Attendance at the first class meeting is required. // Maximum enrollment: 17 students,frosh hum,7,WI
Pl 090B,01,,,advanced hum,7,WI
Pl 150,01,15,Maximum Enrollment: 15 students,advanced hum,7,WI
En 120,01,,,advanced hum,7,SP
En 122,01,[],First class session will be held April 10th,advanced hum,7,SP
En 130,01,,,advanced hum,7,SP
En 141,01,,,advanced hum,7,SP
H  107,01,25,Maximum Enrollment: 25 students,advanced hum,7,SP
H  118,01,,,advanced hum,7,SP
H  126,01,[],Class Closed - Max Enrollment reached,advanced hum,7,SP
H  128,01,,,advanced hum,7,SP
H  130,01,,,advanced hum,7,SP
H  135,01,25,Maximum Enrollment: 25 students,advanced hum,7,SP
H  138,01,20,Maximum enrollment: 20 students,advanced hum,7,SP
H  139,01,,,advanced hum,7,SP
H  141,01,15,Maximum Enrollment: 15 students,advanced hum,7,SP
Law/PS/H 148B,01,30,Maximum enrollment: 30 students,advanced hum,7,SP
HPS/H 170,01,,,advanced hum,7,SP
HPS102B,02,,,advanced hum,7,SP
HPS103,01,,,advanced hum,7,SP
HPS/Pl 122,01,,,advanced hum,7,SP
HPS/Pl 124,01,,,advanced hum,7,SP
HPS/Pl 128,01,,,advanced hum,7,SP
HPS/Pl 133,01,20,Maximum Enrollment: 20 students,advanced hum,7,SP
Hum/H 003B,01,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,7,SP
Hum/H 003C,01,17,Attendance at the first class is required. // Maximum enrollment: 17 students,frosh hum,7,SP
Hum/H 004C,01,17,Attendance at the first class is required. //Maximum enrollment: 17 students,frosh hum,7,SP
Hum/En 005,01,17,Attendance at the first class is required. // Maximum enrollment: 17 students,frosh hum,7,SP
