name,sections,max enrolment,bold info,req,year,term
En 147,1,20,Maximum Enrollment: 20 students,advanced hum,7,FA
H  111,1,20,Maximum enrollment: 20 students,advanced hum,7,FA
H  122,1,15,Maximum enrollment: 15 students,advanced hum,7,FA
HPS/H 162,1,15,Maximum enrollment: 15 students,advanced hum,7,FA
HPS104,1,,,advanced hum,7,FA
Hum/H 002,2,30,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H 003A,2,30,Maximum Enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H 003B,1,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H 003C,1,15,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/En 005,2,30,Maximum enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/Pl 009,6,90,Maximum enrollment: 15 students per section//Class closed to continuing students until term start.,frosh hum,7,FA
Hum/H/HPS 010,1,15,Maximum Enrollment: 15 students//Class closed to continuing students until term start.,frosh hum,7,FA
En 114A,1,20,Maximum Enrollment: 20 students,advanced hum,7,WI
En 172,1,20,Maximum enrollment: 20 students,advanced hum,7,WI
H  116,1,20,Maximum Enrollment: 20 students,advanced hum,7,WI
H  125,1,25,Maximum Enrollment: 25 students,advanced hum,7,WI
H/F 131,1,25,Maximum Enrollment: 25 students,advanced hum,7,WI
H  138,1,,,advanced hum,7,WI
H  140,1,20,Maximum Enrollment: 20 students,advanced hum,7,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students,advanced hum,7,WI
HPS/H 166,1,,,advanced hum,7,WI
HPS/H 168,1,,,advanced hum,7,WI
HPS/H/Pl 174,1,20,Maximum Enrollment: 20 students,advanced hum,7,WI
HPS/Pl 130,1,,,advanced hum,7,WI
HPS/Pl 134,1,,,advanced hum,7,WI
Hum/H 001A,1,17,Attendance at first class is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 002,1,17,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 003A,1,17,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 003B,1,17,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students,frosh hum,7,WI
Hum/H 003C,3,51,Attendance at the first class meeting is required. // Maximum Enrollment: 17 students per section,frosh hum,7,WI
Hum/H 004A,1,17,Attendance at the first class meeting is required. // Maximum enrollment: 17 students,frosh hum,7,WI
Hum/En 005,3,51,Attendance at the first class meeting is required. // Maximum enrollment: 17 students per section.,frosh hum,7,WI
Hum/En 006,1,17,Attendance at the first class meeting is required. // Maximum enrollment: 17 students,frosh hum,7,WI
Hum/Pl 008,2,34,Attendance at the first class meeting is required  // Maximum enrollment: 17 students per section,frosh hum,7,WI
Hum/H/HPS 010,1,17,Attendance at the first class meeting is required. // Maximum enrollment: 17 students,frosh hum,7,WI
Pl 150,1,15,Maximum Enrollment: 15 students,advanced hum,7,WI
En 120,1,,,advanced hum,7,SP
En 122,1,,First class session will be held April 10th,advanced hum,7,SP
